Time,Energy (kWh),Power (kW),Transmission fee block,
1. 1. 2024 00:15:00,7.8750,31.5000,4,
1. 1. 2024 00:30:00,7.6000,30.4000,4,
1. 1. 2024 00:45:00,8.0500,32.2000,4,
1. 1. 2024 01:00:00,8.0000,32.0000,4,
1. 1. 2024 01:15:00,7.7000,30.8000,4,
1. 1. 2024 01:30:00,7.3000,29.2000,4,
1. 1. 2024 01:45:00,7.4000,29.6000,4,
1. 1. 2024 02:00:00,7.5250,30.1000,4,
1. 1. 2024 02:15:00,7.9000,31.6000,4,
1. 1. 2024 02:30:00,7.1000,28.4000,4,
1. 1. 2024 02:45:00,7.2500,29.0000,4,
1. 1. 2024 03:00:00,7.5750,30.3000,4,
1. 1. 2024 03:15:00,7.5750,30.3000,4,
1. 1. 2024 03:30:00,7.3000,29.2000,4,
1. 1. 2024 03:45:00,7.7750,31.1000,4,
1. 1. 2024 04:00:00,7.4500,29.8000,4,
1. 1. 2024 04:15:00,7.8000,31.2000,4,
1. 1. 2024 04:30:00,7.3250,29.3000,4,
1. 1. 2024 04:45:00,7.3750,29.5000,4,
1. 1. 2024 05:00:00,7.3750,29.5000,4,
1. 1. 2024 05:15:00,7.9500,31.8000,4,
1. 1. 2024 05:30:00,7.3750,29.5000,4,
1. 1. 2024 05:45:00,7.8250,31.3000,4,
1. 1. 2024 06:00:00,7.9000,31.6000,4,
1. 1. 2024 06:15:00,8.2750,33.1000,3,
1. 1. 2024 06:30:00,8.0250,32.1000,3,
1. 1. 2024 06:45:00,7.9250,31.7000,3,
1. 1. 2024 07:00:00,7.8500,31.4000,3,
1. 1. 2024 07:15:00,8.2500,33.0000,2,
1. 1. 2024 07:30:00,7.8750,31.5000,2,
1. 1. 2024 07:45:00,9.3250,37.3000,2,
1. 1. 2024 08:00:00,9.6750,38.7000,2,
1. 1. 2024 08:15:00,10.2750,41.1000,2,
1. 1. 2024 08:30:00,9.4500,37.8000,2,
1. 1. 2024 08:45:00,9.4000,37.6000,2,
1. 1. 2024 09:00:00,9.6500,38.6000,2,
1. 1. 2024 09:15:00,10.3250,41.3000,2,
1. 1. 2024 09:30:00,9.5000,38.0000,2,
1. 1. 2024 09:45:00,9.6500,38.6000,2,
1. 1. 2024 10:00:00,9.4250,37.7000,2,
1. 1. 2024 10:15:00,10.1500,40.6000,2,
1. 1. 2024 10:30:00,10.0250,40.1000,2,
1. 1. 2024 10:45:00,9.6250,38.5000,2,
1. 1. 2024 11:00:00,9.4500,37.8000,2,
1. 1. 2024 11:15:00,10.4500,41.8000,2,
1. 1. 2024 11:30:00,9.7500,39.0000,2,
1. 1. 2024 11:45:00,9.9500,39.8000,2,
1. 1. 2024 12:00:00,9.9250,39.7000,2,
1. 1. 2024 12:15:00,10.2750,41.1000,2,
1. 1. 2024 12:30:00,10.0750,40.3000,2,
1. 1. 2024 12:45:00,10.1750,40.7000,2,
1. 1. 2024 13:00:00,9.8000,39.2000,2,
1. 1. 2024 13:15:00,10.4000,41.6000,2,
1. 1. 2024 13:30:00,10.0750,40.3000,2,
1. 1. 2024 13:45:00,9.6250,38.5000,2,
1. 1. 2024 14:00:00,9.7000,38.8000,2,
1. 1. 2024 14:15:00,10.3000,41.2000,3,
1. 1. 2024 14:30:00,9.8000,39.2000,3,
1. 1. 2024 14:45:00,9.8250,39.3000,3,
1. 1. 2024 15:00:00,9.8500,39.4000,3,
1. 1. 2024 15:15:00,10.3250,41.3000,3,
1. 1. 2024 15:30:00,10.0500,40.2000,3,
1. 1. 2024 15:45:00,9.6000,38.4000,3,
1. 1. 2024 16:00:00,9.6750,38.7000,3,
1. 1. 2024 16:15:00,10.5250,42.1000,2,
1. 1. 2024 16:30:00,9.8250,39.3000,2,
1. 1. 2024 16:45:00,9.7750,39.1000,2,
1. 1. 2024 17:00:00,10.0250,40.1000,2,
1. 1. 2024 17:15:00,10.4000,41.6000,2,
1. 1. 2024 17:30:00,10.1750,40.7000,2,
1. 1. 2024 17:45:00,10.3000,41.2000,2,
1. 1. 2024 18:00:00,10.1500,40.6000,2,
1. 1. 2024 18:15:00,10.3500,41.4000,2,
1. 1. 2024 18:30:00,10.4250,41.7000,2,
1. 1. 2024 18:45:00,10.2750,41.1000,2,
1. 1. 2024 19:00:00,9.9750,39.9000,2,
1. 1. 2024 19:15:00,10.4000,41.6000,2,
1. 1. 2024 19:30:00,8.4250,33.7000,2,
1. 1. 2024 19:45:00,7.6750,30.7000,2,
1. 1. 2024 20:00:00,7.8250,31.3000,2,
1. 1. 2024 20:15:00,8.2750,33.1000,3,
1. 1. 2024 20:30:00,8.0750,32.3000,3,
1. 1. 2024 20:45:00,7.8750,31.5000,3,
1. 1. 2024 21:00:00,7.6250,30.5000,3,
1. 1. 2024 21:15:00,8.0750,32.3000,3,
1. 1. 2024 21:30:00,7.7750,31.1000,3,
1. 1. 2024 21:45:00,7.6000,30.4000,3,
1. 1. 2024 22:00:00,7.6250,30.5000,3,
1. 1. 2024 22:15:00,7.9000,31.6000,4,
1. 1. 2024 22:30:00,7.1250,28.5000,4,
1. 1. 2024 22:45:00,7.1000,28.4000,4,
1. 1. 2024 23:00:00,7.6250,30.5000,4,
1. 1. 2024 23:15:00,8.1250,32.5000,4,
1. 1. 2024 23:30:00,7.7500,31.0000,4,
1. 1. 2024 23:45:00,7.6250,30.5000,4,
2. 1. 2024 00:00:00,7.8000,31.2000,4,
2. 1. 2024 00:15:00,8.0750,32.3000,4,
2. 1. 2024 00:30:00,7.7250,30.9000,4,
2. 1. 2024 00:45:00,7.9000,31.6000,4,
2. 1. 2024 01:00:00,7.6500,30.6000,4,
2. 1. 2024 01:15:00,7.8000,31.2000,4,
2. 1. 2024 01:30:00,7.4000,29.6000,4,
2. 1. 2024 01:45:00,7.2500,29.0000,4,
2. 1. 2024 02:00:00,7.4250,29.7000,4,
2. 1. 2024 02:15:00,8.0000,32.0000,4,
2. 1. 2024 02:30:00,7.1500,28.6000,4,
2. 1. 2024 02:45:00,7.1500,28.6000,4,
2. 1. 2024 03:00:00,7.3500,29.4000,4,
2. 1. 2024 03:15:00,7.3500,29.4000,4,
2. 1. 2024 03:30:00,7.4000,29.6000,4,
2. 1. 2024 03:45:00,7.4000,29.6000,4,
2. 1. 2024 04:00:00,7.1250,28.5000,4,
2. 1. 2024 04:15:00,7.3000,29.2000,4,
2. 1. 2024 04:30:00,7.2500,29.0000,4,
2. 1. 2024 04:45:00,7.3000,29.2000,4,
2. 1. 2024 05:00:00,7.3250,29.3000,4,
2. 1. 2024 05:15:00,7.3250,29.3000,4,
2. 1. 2024 05:30:00,7.8500,31.4000,4,
2. 1. 2024 05:45:00,7.6000,30.4000,4,
2. 1. 2024 06:00:00,7.6500,30.6000,4,
2. 1. 2024 06:15:00,7.9000,31.6000,3,
2. 1. 2024 06:30:00,7.8250,31.3000,3,
2. 1. 2024 06:45:00,7.7750,31.1000,3,
2. 1. 2024 07:00:00,7.7000,30.8000,3,
2. 1. 2024 07:15:00,7.5500,30.2000,2,
2. 1. 2024 07:30:00,7.7500,31.0000,2,
2. 1. 2024 07:45:00,9.2250,36.9000,2,
2. 1. 2024 08:00:00,9.6250,38.5000,2,
2. 1. 2024 08:15:00,9.5750,38.3000,2,
2. 1. 2024 08:30:00,9.4250,37.7000,2,
2. 1. 2024 08:45:00,9.4500,37.8000,2,
2. 1. 2024 09:00:00,9.8250,39.3000,2,
2. 1. 2024 09:15:00,9.6000,38.4000,2,
2. 1. 2024 09:30:00,9.4000,37.6000,2,
2. 1. 2024 09:45:00,9.5000,38.0000,2,
2. 1. 2024 10:00:00,9.5250,38.1000,2,
2. 1. 2024 10:15:00,9.4750,37.9000,2,
2. 1. 2024 10:30:00,9.5750,38.3000,2,
2. 1. 2024 10:45:00,9.7000,38.8000,2,
2. 1. 2024 11:00:00,9.4500,37.8000,2,
2. 1. 2024 11:15:00,9.6500,38.6000,2,
2. 1. 2024 11:30:00,9.9500,39.8000,2,
2. 1. 2024 11:45:00,9.8250,39.3000,2,
2. 1. 2024 12:00:00,9.8250,39.3000,2,
2. 1. 2024 12:15:00,9.7250,38.9000,2,
2. 1. 2024 12:30:00,9.8750,39.5000,2,
2. 1. 2024 12:45:00,10.1250,40.5000,2,
2. 1. 2024 13:00:00,9.6500,38.6000,2,
2. 1. 2024 13:15:00,9.7250,38.9000,2,
2. 1. 2024 13:30:00,9.8500,39.4000,2,
2. 1. 2024 13:45:00,9.6500,38.6000,2,
2. 1. 2024 14:00:00,9.6000,38.4000,2,
2. 1. 2024 14:15:00,9.5500,38.2000,3,
2. 1. 2024 14:30:00,9.6250,38.5000,3,
2. 1. 2024 14:45:00,9.7250,38.9000,3,
2. 1. 2024 15:00:00,9.8500,39.4000,3,
2. 1. 2024 15:15:00,9.5750,38.3000,3,
2. 1. 2024 15:30:00,9.6250,38.5000,3,
2. 1. 2024 15:45:00,9.5750,38.3000,3,
2. 1. 2024 16:00:00,9.5750,38.3000,3,
2. 1. 2024 16:15:00,9.7250,38.9000,2,
2. 1. 2024 16:30:00,9.7500,39.0000,2,
2. 1. 2024 16:45:00,9.6000,38.4000,2,
2. 1. 2024 17:00:00,9.5000,38.0000,2,
2. 1. 2024 17:15:00,9.7750,39.1000,2,
2. 1. 2024 17:30:00,10.1750,40.7000,2,
2. 1. 2024 17:45:00,10.0750,40.3000,2,
2. 1. 2024 18:00:00,9.7750,39.1000,2,
2. 1. 2024 18:15:00,9.6250,38.5000,2,
2. 1. 2024 18:30:00,10.0250,40.1000,2,
2. 1. 2024 18:45:00,9.9000,39.6000,2,
2. 1. 2024 19:00:00,9.9750,39.9000,2,
2. 1. 2024 19:15:00,9.9000,39.6000,2,
2. 1. 2024 19:30:00,7.9500,31.8000,2,
2. 1. 2024 19:45:00,7.4250,29.7000,2,
2. 1. 2024 20:00:00,7.7000,30.8000,2,
2. 1. 2024 20:15:00,7.6250,30.5000,3,
2. 1. 2024 20:30:00,7.5750,30.3000,3,
2. 1. 2024 20:45:00,7.5500,30.2000,3,
2. 1. 2024 21:00:00,7.4750,29.9000,3,
2. 1. 2024 21:15:00,7.3250,29.3000,3,
2. 1. 2024 21:30:00,7.4250,29.7000,3,
2. 1. 2024 21:45:00,7.4500,29.8000,3,
2. 1. 2024 22:00:00,7.4500,29.8000,3,
2. 1. 2024 22:15:00,7.3500,29.4000,4,
2. 1. 2024 22:30:00,6.9500,27.8000,4,
2. 1. 2024 22:45:00,6.9000,27.6000,4,
2. 1. 2024 23:00:00,7.6500,30.6000,4,
2. 1. 2024 23:15:00,7.5000,30.0000,4,
2. 1. 2024 23:30:00,7.6500,30.6000,4,
2. 1. 2024 23:45:00,7.5750,30.3000,4,
3. 1. 2024 00:00:00,7.4500,29.8000,4,
3. 1. 2024 00:15:00,7.3250,29.3000,3,
3. 1. 2024 00:30:00,7.8500,31.4000,3,
3. 1. 2024 00:45:00,7.5500,30.2000,3,
3. 1. 2024 01:00:00,7.4500,29.8000,3,
3. 1. 2024 01:15:00,7.4750,29.9000,3,
3. 1. 2024 01:30:00,7.1250,28.5000,3,
3. 1. 2024 01:45:00,7.4750,29.9000,3,
3. 1. 2024 02:00:00,7.5750,30.3000,3,
3. 1. 2024 02:15:00,7.3500,29.4000,3,
3. 1. 2024 02:30:00,7.2750,29.1000,3,
3. 1. 2024 02:45:00,7.3500,29.4000,3,
3. 1. 2024 03:00:00,7.1250,28.5000,3,
3. 1. 2024 03:15:00,7.2000,28.8000,3,
3. 1. 2024 03:30:00,7.5250,30.1000,3,
3. 1. 2024 03:45:00,7.1500,28.6000,3,
3. 1. 2024 04:00:00,7.0750,28.3000,3,
3. 1. 2024 04:15:00,7.3250,29.3000,3,
3. 1. 2024 04:30:00,7.4000,29.6000,3,
3. 1. 2024 04:45:00,7.2750,29.1000,3,
3. 1. 2024 05:00:00,7.4750,29.9000,3,
3. 1. 2024 05:15:00,10.2250,40.9000,3,
3. 1. 2024 05:30:00,11.5750,46.3000,3,
3. 1. 2024 05:45:00,11.2500,45.0000,3,
3. 1. 2024 06:00:00,11.2750,45.1000,3,
3. 1. 2024 06:15:00,14.1250,56.5000,2,
3. 1. 2024 06:30:00,14.9500,59.8000,2,
3. 1. 2024 06:45:00,17.8500,71.4000,2,
3. 1. 2024 07:00:00,20.9000,83.6000,2,
3. 1. 2024 07:15:00,33.4750,133.9000,1,
3. 1. 2024 07:30:00,32.8000,131.2000,1,
3. 1. 2024 07:45:00,34.4500,137.8000,1,
3. 1. 2024 08:00:00,37.8500,151.4000,1,
3. 1. 2024 08:15:00,38.8000,155.2000,1,
3. 1. 2024 08:30:00,36.4500,145.8000,1,
3. 1. 2024 08:45:00,50,200,1,
3. 1. 2024 09:00:00,56.3500,225.4000,1,
3. 1. 2024 09:15:00,58.3250,233.3000,1,
3. 1. 2024 09:30:00,58.2000,232.8000,1,
3. 1. 2024 09:45:00,61.3500,245.4000,1,
3. 1. 2024 10:00:00,58.7750,235.1000,1,
3. 1. 2024 10:15:00,59.0500,236.2000,1,
3. 1. 2024 10:30:00,59.0250,236.1000,1,
3. 1. 2024 10:45:00,60.5000,242.0000,1,
3. 1. 2024 11:00:00,59.2000,236.8000,1,
3. 1. 2024 11:15:00,57.9000,231.6000,1,
3. 1. 2024 11:30:00,58.8750,235.5000,1,
3. 1. 2024 11:45:00,58.7500,235.0000,1,
3. 1. 2024 12:00:00,60,240,1,
3. 1. 2024 12:15:00,59.0500,236.2000,1,
3. 1. 2024 12:30:00,59.0250,236.1000,1,
3. 1. 2024 12:45:00,61.1000,244.4000,1,
3. 1. 2024 13:00:00,61.4250,245.7000,1,
3. 1. 2024 13:15:00,60.1500,240.6000,1,
3. 1. 2024 13:30:00,61.2000,244.8000,1,
3. 1. 2024 13:45:00,60.5750,242.3000,1,
3. 1. 2024 14:00:00,61.3250,245.3000,1,
3. 1. 2024 14:15:00,59.6500,238.6000,2,
3. 1. 2024 14:30:00,60.8000,243.2000,2,
3. 1. 2024 14:45:00,62.3000,249.2000,2,
3. 1. 2024 15:00:00,60.6500,242.6000,2,
3. 1. 2024 15:15:00,59.0500,236.2000,2,
3. 1. 2024 15:30:00,60.7500,243.0000,2,
3. 1. 2024 15:45:00,59.1250,236.5000,2,
3. 1. 2024 16:00:00,58.6250,234.5000,2,
3. 1. 2024 16:15:00,59.4500,237.8000,1,
3. 1. 2024 16:30:00,58.7750,235.1000,1,
3. 1. 2024 16:45:00,59.8250,239.3000,1,
3. 1. 2024 17:00:00,58.8000,235.2000,1,
3. 1. 2024 17:15:00,59.2500,237.0000,1,
3. 1. 2024 17:30:00,58.6500,234.6000,1,
3. 1. 2024 17:45:00,58.6500,234.6000,1,
3. 1. 2024 18:00:00,59.2750,237.1000,1,
3. 1. 2024 18:15:00,59.4000,237.6000,1,
3. 1. 2024 18:30:00,58.9750,235.9000,1,
3. 1. 2024 18:45:00,58.3000,233.2000,1,
3. 1. 2024 19:00:00,55.6000,222.4000,1,
3. 1. 2024 19:15:00,53.6750,214.7000,1,
3. 1. 2024 19:30:00,51.2250,204.9000,1,
3. 1. 2024 19:45:00,51.6500,206.6000,1,
3. 1. 2024 20:00:00,52.2750,209.1000,1,
3. 1. 2024 20:15:00,48.4000,193.6000,2,
3. 1. 2024 20:30:00,43.6000,174.4000,2,
3. 1. 2024 20:45:00,25.9000,103.6000,2,
3. 1. 2024 21:00:00,25.2750,101.1000,2,
3. 1. 2024 21:15:00,24.0750,96.3000,2,
3. 1. 2024 21:30:00,23.6500,94.6000,2,
3. 1. 2024 21:45:00,11.9500,47.8000,2,
3. 1. 2024 22:00:00,11.8750,47.5000,2,
3. 1. 2024 22:15:00,11.3000,45.2000,3,
3. 1. 2024 22:30:00,10.9250,43.7000,3,
3. 1. 2024 22:45:00,10.8000,43.2000,3,
3. 1. 2024 23:00:00,10.5500,42.2000,3,
3. 1. 2024 23:15:00,10.3000,41.2000,3,
3. 1. 2024 23:30:00,10.2750,41.1000,3,
3. 1. 2024 23:45:00,9.3500,37.4000,3,
4. 1. 2024 00:00:00,9.3500,37.4000,3,
4. 1. 2024 00:15:00,9.3750,37.5000,3,
4. 1. 2024 00:30:00,9.1750,36.7000,3,
4. 1. 2024 00:45:00,9.0500,36.2000,3,
4. 1. 2024 01:00:00,8.7500,35.0000,3,
4. 1. 2024 01:15:00,8.4000,33.6000,3,
4. 1. 2024 01:30:00,8.4750,33.9000,3,
4. 1. 2024 01:45:00,7.6500,30.6000,3,
4. 1. 2024 02:00:00,7.7000,30.8000,3,
4. 1. 2024 02:15:00,7.6000,30.4000,3,
4. 1. 2024 02:30:00,8.0250,32.1000,3,
4. 1. 2024 02:45:00,8.1250,32.5000,3,
4. 1. 2024 03:00:00,7.8500,31.4000,3,
4. 1. 2024 03:15:00,7.5750,30.3000,3,
4. 1. 2024 03:30:00,7.5750,30.3000,3,
4. 1. 2024 03:45:00,7.2750,29.1000,3,
4. 1. 2024 04:00:00,7.7250,30.9000,3,
4. 1. 2024 04:15:00,7.6250,30.5000,3,
4. 1. 2024 04:30:00,7.6750,30.7000,3,
4. 1. 2024 04:45:00,7.7750,31.1000,3,
4. 1. 2024 05:00:00,7.6500,30.6000,3,
4. 1. 2024 05:15:00,10.9500,43.8000,3,
4. 1. 2024 05:30:00,11.7000,46.8000,3,
4. 1. 2024 05:45:00,11.4250,45.7000,3,
4. 1. 2024 06:00:00,12.3750,49.5000,3,
4. 1. 2024 06:15:00,13.9750,55.9000,2,
4. 1. 2024 06:30:00,15.8250,63.3000,2,
4. 1. 2024 06:45:00,19.6250,78.5000,2,
4. 1. 2024 07:00:00,21.6250,86.5000,2,
4. 1. 2024 07:15:00,32.3750,129.5000,1,
4. 1. 2024 07:30:00,33.0750,132.3000,1,
4. 1. 2024 07:45:00,35.2000,140.8000,1,
4. 1. 2024 08:00:00,33.9750,135.9000,1,
4. 1. 2024 08:15:00,35.3000,141.2000,1,
4. 1. 2024 08:30:00,36.0750,144.3000,1,
4. 1. 2024 08:45:00,54.3750,217.5000,1,
4. 1. 2024 09:00:00,55.2250,220.9000,1,
4. 1. 2024 09:15:00,66.0000,264.0000,1,
4. 1. 2024 09:30:00,59.2750,237.1000,1,
4. 1. 2024 09:45:00,58.0500,232.2000,1,
4. 1. 2024 10:00:00,59.3750,237.5000,1,
4. 1. 2024 10:15:00,59.3000,237.2000,1,
4. 1. 2024 10:30:00,58.1750,232.7000,1,
4. 1. 2024 10:45:00,57.8250,231.3000,1,
4. 1. 2024 11:00:00,58.3500,233.4000,1,
4. 1. 2024 11:15:00,59.2000,236.8000,1,
4. 1. 2024 11:30:00,57.9500,231.8000,1,
4. 1. 2024 11:45:00,59.0750,236.3000,1,
4. 1. 2024 12:00:00,59.5000,238.0000,1,
4. 1. 2024 12:15:00,58.5250,234.1000,1,
4. 1. 2024 12:30:00,58.8500,235.4000,1,
4. 1. 2024 12:45:00,57.6000,230.4000,1,
4. 1. 2024 13:00:00,58.9500,235.8000,1,
4. 1. 2024 13:15:00,59.8500,239.4000,1,
4. 1. 2024 13:30:00,61.2750,245.1000,1,
4. 1. 2024 13:45:00,58.3500,233.4000,1,
4. 1. 2024 14:00:00,59.9000,239.6000,1,
4. 1. 2024 14:15:00,60.7500,243.0000,2,
4. 1. 2024 14:30:00,59.7250,238.9000,2,
4. 1. 2024 14:45:00,60.7000,242.8000,2,
4. 1. 2024 15:00:00,59.2250,236.9000,2,
4. 1. 2024 15:15:00,58.0250,232.1000,2,
4. 1. 2024 15:30:00,61.3000,245.2000,2,
4. 1. 2024 15:45:00,57.9250,231.7000,2,
4. 1. 2024 16:00:00,56.8750,227.5000,2,
4. 1. 2024 16:15:00,60.6500,242.6000,1,
4. 1. 2024 16:30:00,59.9500,239.8000,1,
4. 1. 2024 16:45:00,58.8250,235.3000,1,
4. 1. 2024 17:00:00,58.8000,235.2000,1,
4. 1. 2024 17:15:00,58.9250,235.7000,1,
4. 1. 2024 17:30:00,57.6500,230.6000,1,
4. 1. 2024 17:45:00,59.5750,238.3000,1,
4. 1. 2024 18:00:00,58.0250,232.1000,1,
4. 1. 2024 18:15:00,58.1750,232.7000,1,
4. 1. 2024 18:30:00,58.7500,235.0000,1,
4. 1. 2024 18:45:00,58.2500,233.0000,1,
4. 1. 2024 19:00:00,53.9000,215.6000,1,
4. 1. 2024 19:15:00,53.5000,214.0000,1,
4. 1. 2024 19:30:00,50.4000,201.6000,1,
4. 1. 2024 19:45:00,49.9250,199.7000,1,
4. 1. 2024 20:00:00,52.2000,208.8000,1,
4. 1. 2024 20:15:00,47.9000,191.6000,2,
4. 1. 2024 20:30:00,44.6750,178.7000,2,
4. 1. 2024 20:45:00,26.5000,106.0000,2,
4. 1. 2024 21:00:00,25.9750,103.9000,2,
4. 1. 2024 21:15:00,24.8000,99.2000,2,
4. 1. 2024 21:30:00,24.4000,97.6000,2,
4. 1. 2024 21:45:00,13.1750,52.7000,2,
4. 1. 2024 22:00:00,12.7250,50.9000,2,
4. 1. 2024 22:15:00,12.5500,50.2000,3,
4. 1. 2024 22:30:00,12.6750,50.7000,3,
4. 1. 2024 22:45:00,12.2500,49.0000,3,
4. 1. 2024 23:00:00,11.9500,47.8000,3,
4. 1. 2024 23:15:00,11.4500,45.8000,3,
4. 1. 2024 23:30:00,11.5500,46.2000,3,
4. 1. 2024 23:45:00,11.4750,45.9000,3,
5. 1. 2024 00:00:00,10.9000,43.6000,3,
5. 1. 2024 00:15:00,10.4250,41.7000,3,
5. 1. 2024 00:30:00,10.1750,40.7000,3,
5. 1. 2024 00:45:00,10.2000,40.8000,3,
5. 1. 2024 01:00:00,10.2000,40.8000,3,
5. 1. 2024 01:15:00,10.1500,40.6000,3,
5. 1. 2024 01:30:00,10.0000,40.0000,3,
5. 1. 2024 01:45:00,9.3750,37.5000,3,
5. 1. 2024 02:00:00,8.9750,35.9000,3,
5. 1. 2024 02:15:00,9.3750,37.5000,3,
5. 1. 2024 02:30:00,9.5500,38.2000,3,
5. 1. 2024 02:45:00,8.9250,35.7000,3,
5. 1. 2024 03:00:00,8.9500,35.8000,3,
5. 1. 2024 03:15:00,8.5000,34.0000,3,
5. 1. 2024 03:30:00,8.6750,34.7000,3,
5. 1. 2024 03:45:00,8.4750,33.9000,3,
5. 1. 2024 04:00:00,8.3000,33.2000,3,
5. 1. 2024 04:15:00,8.2250,32.9000,3,
5. 1. 2024 04:30:00,8.7000,34.8000,3,
5. 1. 2024 04:45:00,7.5750,30.3000,3,
5. 1. 2024 05:00:00,7.5250,30.1000,3,
5. 1. 2024 05:15:00,11.1250,44.5000,3,
5. 1. 2024 05:30:00,11.9750,47.9000,3,
5. 1. 2024 05:45:00,12.8000,51.2000,3,
5. 1. 2024 06:00:00,12.7000,50.8000,3,
5. 1. 2024 06:15:00,14.3500,57.4000,2,
5. 1. 2024 06:30:00,14.9000,59.6000,2,
5. 1. 2024 06:45:00,19.0250,76.1000,2,
5. 1. 2024 07:00:00,20.7750,83.1000,2,
5. 1. 2024 07:15:00,33.6250,134.5000,1,
5. 1. 2024 07:30:00,33.4500,133.8000,1,
5. 1. 2024 07:45:00,34.5000,138.0000,1,
5. 1. 2024 08:00:00,35.3000,141.2000,1,
5. 1. 2024 08:15:00,35.5500,142.2000,1,
5. 1. 2024 08:30:00,36.7500,147.0000,1,
5. 1. 2024 08:45:00,53.3750,213.5000,1,
5. 1. 2024 09:00:00,58.0500,232.2000,1,
5. 1. 2024 09:15:00,66.9250,267.7000,1,
5. 1. 2024 09:30:00,59.1750,236.7000,1,
5. 1. 2024 09:45:00,59.3500,237.4000,1,
5. 1. 2024 10:00:00,57.9500,231.8000,1,
5. 1. 2024 10:15:00,58.0250,232.1000,1,
5. 1. 2024 10:30:00,57.6250,230.5000,1,
5. 1. 2024 10:45:00,58.2250,232.9000,1,
5. 1. 2024 11:00:00,58.7250,234.9000,1,
5. 1. 2024 11:15:00,58.7250,234.9000,1,
5. 1. 2024 11:30:00,56.4750,225.9000,1,
5. 1. 2024 11:45:00,57.2500,229.0000,1,
5. 1. 2024 12:00:00,59.0750,236.3000,1,
5. 1. 2024 12:15:00,58.4500,233.8000,1,
5. 1. 2024 12:30:00,60.0750,240.3000,1,
5. 1. 2024 12:45:00,60.6750,242.7000,1,
5. 1. 2024 13:00:00,60.3750,241.5000,1,
5. 1. 2024 13:15:00,58.9750,235.9000,1,
5. 1. 2024 13:30:00,60.4750,241.9000,1,
5. 1. 2024 13:45:00,57.4500,229.8000,1,
5. 1. 2024 14:00:00,59.1250,236.5000,1,
5. 1. 2024 14:15:00,60.5000,242.0000,2,
5. 1. 2024 14:30:00,58.9250,235.7000,2,
5. 1. 2024 14:45:00,58.6250,234.5000,2,
5. 1. 2024 15:00:00,58.0000,232.0000,2,
5. 1. 2024 15:15:00,57.3750,229.5000,2,
5. 1. 2024 15:30:00,57.8750,231.5000,2,
5. 1. 2024 15:45:00,59.3500,237.4000,2,
5. 1. 2024 16:00:00,58.3250,233.3000,2,
5. 1. 2024 16:15:00,59.9250,239.7000,1,
5. 1. 2024 16:30:00,59.3250,237.3000,1,
5. 1. 2024 16:45:00,60.3250,241.3000,1,
5. 1. 2024 17:00:00,59.8250,239.3000,1,
5. 1. 2024 17:15:00,60.9250,243.7000,1,
5. 1. 2024 17:30:00,58.5000,234.0000,1,
5. 1. 2024 17:45:00,59.1750,236.7000,1,
5. 1. 2024 18:00:00,59.4750,237.9000,1,
5. 1. 2024 18:15:00,58.2250,232.9000,1,
5. 1. 2024 18:30:00,58.3500,233.4000,1,
5. 1. 2024 18:45:00,56.6500,226.6000,1,
5. 1. 2024 19:00:00,54.2000,216.8000,1,
5. 1. 2024 19:15:00,52.9500,211.8000,1,
5. 1. 2024 19:30:00,50.3500,201.4000,1,
5. 1. 2024 19:45:00,51.5250,206.1000,1,
5. 1. 2024 20:00:00,54.9250,219.7000,1,
5. 1. 2024 20:15:00,49.6500,198.6000,2,
5. 1. 2024 20:30:00,45.7000,182.8000,2,
5. 1. 2024 20:45:00,26.9000,107.6000,2,
5. 1. 2024 21:00:00,26.8750,107.5000,2,
5. 1. 2024 21:15:00,25.4500,101.8000,2,
5. 1. 2024 21:30:00,24.6750,98.7000,2,
5. 1. 2024 21:45:00,13.4750,53.9000,2,
5. 1. 2024 22:00:00,12.6000,50.4000,2,
5. 1. 2024 22:15:00,12.1500,48.6000,3,
5. 1. 2024 22:30:00,11.6750,46.7000,3,
5. 1. 2024 22:45:00,11.3250,45.3000,3,
5. 1. 2024 23:00:00,11.2750,45.1000,3,
5. 1. 2024 23:15:00,10.9500,43.8000,3,
5. 1. 2024 23:30:00,10.9250,43.7000,3,
5. 1. 2024 23:45:00,10.6500,42.6000,3,
6. 1. 2024 00:00:00,10.3000,41.2000,3,
6. 1. 2024 00:15:00,10.5000,42.0000,4,
6. 1. 2024 00:30:00,10.5000,42.0000,4,
6. 1. 2024 00:45:00,10.4750,41.9000,4,
6. 1. 2024 01:00:00,10.7500,43.0000,4,
6. 1. 2024 01:15:00,10.0750,40.3000,4,
6. 1. 2024 01:30:00,7.7000,30.8000,4,
6. 1. 2024 01:45:00,7.5000,30.0000,4,
6. 1. 2024 02:00:00,7.8250,31.3000,4,
6. 1. 2024 02:15:00,8.6500,34.6000,4,
6. 1. 2024 02:30:00,8.1000,32.4000,4,
6. 1. 2024 02:45:00,7.8250,31.3000,4,
6. 1. 2024 03:00:00,7.8000,31.2000,4,
6. 1. 2024 03:15:00,8.3750,33.5000,4,
6. 1. 2024 03:30:00,7.6750,30.7000,4,
6. 1. 2024 03:45:00,7.4500,29.8000,4,
6. 1. 2024 04:00:00,7.2750,29.1000,4,
6. 1. 2024 04:15:00,8.2250,32.9000,4,
6. 1. 2024 04:30:00,7.5500,30.2000,4,
6. 1. 2024 04:45:00,7.4750,29.9000,4,
